X,Y,Z,formation
557384.5543375824,5248471.553990377,-1990,Fault_3
563532.5628689053,5239790.188978702,-1990,Fault_3
563631.9627002628,5243886.215961509,-1990,Fault_3
571323.9422647685,5238169.485640593,-1990,Fault_3
571413.6203561331,5243820.991022270,-1990,Fault_3
571475.4228460889,5248932.592629333,-1990,Fault_3
570429.4645287241,5260344.72063129,466.9512253928888,Fault_4
570773.0407637615,5259580.34133508,-603.8847504394844,Fault_4
571202.5110575582,5258624.86721488,-1465.209339695958,Fault_4
571746.5067630343,5257414.59999592,-2140.30158532941,Fault_4
572510.0095075619,5255715.97933783,-2978.347131633006,Fault_4
573225.7933305566,5254123.52247032,-3490.486076596316,Fault_4
574561.9231334799,5251150.93631025,-3769.8345920308466,Fault_4
573531.8316538234,5262449.91108476,1300,Fault_4
571704.4457617071,5261653.23058684,1300,Fault_4
568985.0622406639,5260907.52815649,1300,Fault_4
567164.0782454060,5259751.63011262,1300,Fault_4
565103.3787788975,5258713.10017783,1300,Fault_4
561739.1819798459,5257481.92056905,1300,Fault_4
559380.4386484884,5256500.29638411,1300,Fault_4
557317.6052163604,5255581.50563129,1300,Fault_4
556000,5253878.671775224,-481.4814814814781,Fault_4
556000,5250855.683269476,-1814.814814814813,Fault_4
556000,5246130.268199234,-2333.333333333331,Fault_4
556000,5241139.208173691,-2703.7037037037026,Fault_4
556000,5236736.909323117,-3037.0370370370365,Fault_4
569790.0309801821,5261767.315432424,932.532084450444,Fault_5
569856.8374703283,5261618.686124837,-394.373363863584,Fault_5
569971.3628820075,5261363.893026118,-1139.3027383556691,Fault_5
570095.4320779932,5261087.867169172,-1767.8368980833657,Fault_5
570324.4829013515,5260578.280971732,-2093.7434994236537,Fault_5
570954.3726655868,5259176.918928773,-2629.1614873398394,Fault_5
571450.6494495298,5258072.815500988,-3118.0213893502714,Fault_5
572319.1338214299,5256140.634502363,-3280.9746900204154,Fault_5
573368.9500951555,5253805.031097433,-3443.9279906905595,Fault_5
574437.8539374942,5251426.962176048,-3723.2765061250902,Fault_5
573852.9964501983,5263797.243683442,1300,Fault_5
571369.1793693881,5262814.783879724,1300,Fault_5
568661.0983503864,5261834.412194613,1300,Fault_5
567643.4537481728,5261341.094174149,1300,Fault_5
564479.3276258091,5259918.041344749,1300,Fault_5
561256.3165587805,5258327.939026937,1300,Fault_5
558204.3224055127,5256903.842138234,1300,Fault_5
556565.537064105,5256160.980580497,1300,Fault_5
556000,5253205.619412516,-1740.7407407407381,Fault_5
556000,5249773.946360153,-1999.9999999999982,Fault_5
556000,5242314.176245211,-2666.666666666665,Fault_5
556000,5237670.498084291,-2999.999999999999,Fault_5
556000,5233487.867177523,-3148.148148148147,Fault_5
574000,5233785.367247785,-3459.274078308088,Fault_5
574000,5241143.183766791,-3440.411546156043,Fault_5
574000,5245347.242069162,-3726.779079737066,Fault_5
569284.2104119326,5262892.651618436,-976.3494376855251,Fault_6
568463.4449615653,5264718.668825927,-1791.1159410362434,Fault_6
567680.8546484245,5266459.755000512,-2233.417757140918,Fault_6
566974.6146097365,5268030.979109284,-2489.487229622573,Fault_6
565142.2080228701,5272107.668688799,-2396.371057811062,Fault_6
564006.4976903852,5274634.366917770,-2303.2548859995513,Fault_6
574164.1468682504,5265058.979896993,1300,Fault_6
573014.4542282771,5264460.873899319,1300,Fault_6
570831.3673367668,5263440.770892175,1300,Fault_6
568306.6954643627,5262531.982056821,1300,Fault_6
566352.2179764080,5261515.201860774,1300,Fault_6
563077.9199202524,5260014.121947167,1300,Fault_6
559571.0250872237,5258160.8240571525,1300,Fault_6
557215.8165808273,5257080.079747466,1300,Fault_6
555835.5208506396,5256304.20335604,1300,Fault_6
563977.8663374655,5274698.065192450,-2303.2548859995495,Fault_7
565037.2263954976,5272341.229029292,-2361.452493381744,Fault_7
566106.1302378363,5269963.160107909,-2454.5686651932547,Fault_7
566712.1605413051,5268614.879960515,-2524.405794051887,Fault_7
566998.4740705029,5267977.897213717,-2524.405794051887,Fault_7
567723.8016778042,5266364.207588492,-2245.057278617355,Fault_7
568081.6935893015,5265567.979154993,-1977.3482846592615,Fault_7
568530.2514517115,5264570.039518305,-1732.9183336540464,Fault_7
568883.3714710556,5263784.427463955,-1407.0117323137592,Fault_7
569365.3325785387,5262712.173173501,-1337.174603455126,Fault_7
569589.6115097436,5262213.203355184,-1407.0117323137592,Fault_7
569957.0472055476,5261395.742163458,-1721.2788121776075,Fault_7
570286.307764125,5260663.2120046380,-2047.1854135178946,Fault_7
570844.6191460609,5259421.095648380,-2582.603401434081,Fault_7
571336.1240378506,5258327.608599705,-3048.1842604916346,Fault_7
571503.140263216,5257956.0353307420,-3152.9399537795844,Fault_7
572238.0116548239,5256321.112947290,-3292.6142114968507,Fault_7
573182.8463011768,5254219.069882852,-3455.5675121669947,Fault_7
574022.6993201573,5252350.587158907,-3571.9627269313823,Fault_7
563681.1132536436,5251166.011329398,-2217.7699900050743,Fault_7
557296.7908858364,5265159.275757106,-2285.7532047707514,Fault_7
557961.8468273431,5263699.203030209,-2394.5263483958347,Fault_7
558604.3584996463,5262288.624294055,-2462.5095631615113,Fault_7
559173.6012970377,5261038.901027812,-2516.896134974053,Fault_7
559607.5784792074,5260086.141706023,-2544.089420880324,Fault_7
559934.4703826598,5259368.478840261,-2557.6860638334592,Fault_7
560712.2476701846,5257660.936159653,-2204.1733470519393,Fault_7
561191.3133907615,5256609.188856379,-1959.4337738955019,Fault_7
561602.7463037276,5255705.923525332,-1592.3244141608466,Fault_7
561788.7365246575,5255297.598101709,-1456.3579846294924,Fault_7
562047.995620499,5254728.4172081730,-1401.9714128169512,Fault_7
562476.3367353678,5253788.031384070,-1483.5512705357633,Fault_7
562949.7663886438,5252748.657578482,-1782.677415504742,Fault_7
563327.3828978044,5251919.633233550,-2136.1901322862623,Fault_7
563839.4814650199,5275005.940186736,-2303.254885999564,Fault_8
565538.2750715938,5271226.509222394,-2349.8129719053195,Fault_8
566845.7735215974,5268317.621345344,-2512.7662725754635,Fault_8
567208.437325248,5267510.7765327310,-2466.208186669708,Fault_8
567952.8525011624,5265854.621391053,-2093.7434994236646,Fault_8
568296.4287362,5265090.242094894000,-2070.464456470787,Fault_8
568926.3185004352,5263688.880051935,-2163.5806282822978,Fault_8
569422.5952843782,5262584.776624150,-2186.8596712351755,Fault_8
569775.7153037223,5261799.164569764,-2396.371057811075,Fault_8
570596.4807540894,5259973.147362272,-3071.463303444527,Fault_8
571159.5640281786,5258720.414626901,-3583.6022484078367,Fault_8
571359.9834986171,5258274.526704141,-3793.113634983736,Fault_8
572285.7305763569,5256214.949156157,-3979.345978606758,Fault_8
573535.9663205208,5253433.457828467,-4235.415451088411,Fault_8
574309.0128493551,5251713.604412109,-4386.729230282123,Fault_8
575113,5264638,-2571.72,Fault_8
575309,5264638,-2579.24,Fault_8
564803.403679986,5272861.4316058460,-2373.092014858217,Fault_9
566110.9021299896,5269952.543728795,-2396.371057811095,Fault_9
566998.4740705029,5267977.897213717,-2512.7662725754835,Fault_9
568134.1844029878,5265451.198984747,-2722.277659151381,Fault_9
569136.2817551803,5263221.759370949,-2838.6728739157697,Fault_9
569451.226637298,5262521.0783494700,-2838.6728739157697,Fault_9
569909.3282840146,5261501.905954591,-3187.8585182089355,Fault_9
570472.4115581037,5260249.173219219,-3630.1603343136103,Fault_9
571130.9326752588,5258784.112901585,-3769.8345920308766,Fault_9
572247.5554391305,5256299.880189063,-4025.9040645125315,Fault_9
573631.4041635869,5253221.130246200,-4258.694494041309,Fault_9
574719.3955745387,5250800.595808363,-4421.647794711453,Fault_9
557030.4867058686,5265743.923522749,-2292.551526247311,Fault_9
558056.2509546333,5263491.946943976,-2414.9213128255296,Fault_9
559144.0119437079,5261103.861890665,-2510.0978134974775,Fault_9
560062.6909137553,5259086.981767914,-2605.2743141694255,Fault_9
560834.8321339793,5257391.812584992,-2646.0642430288317,Fault_9
561522.4323446897,5255882.245867352,-2700.4508148413724,Fault_9
562187.4882861965,5254422.173140455,-2795.6273155133204,Fault_9
562356.5703052236,5254050.968209889,-2863.6105302789974,Fault_9
562841.2720931014,5252986.847408930,-3217.123247060518,Fault_9
563241.4328714656,5252108.329073254,-3516.2493920294964,Fault_9
563427.4230923955,5251700.003649631,-3625.0225356545798,Fault_9
575096,5264638,-3368.39,Fault_9
575343,5264638,-3375.91,Fault_9
573869.9987712518,5252690.311290534,763.7590230420385,LFM
573877.1566094817,5252674.386721863,368.015292843118,LFM
573865.2268790985,5252700.927669647,117.765581099683,LFM
573815.1220114888,5252812.399650337,-91.74580547621599,LFM
573757.8593056493,5252939.796199697,-208.14102024060435,LFM
573629.0182175102,5253226.438435757,-289.61767057567613,LFM
573543.1241587509,5253417.533259796,-248.87934540814035,LFM
573471.5457764514,5253576.778946497,-155.76317359662949,LFM
573364.1782030022,5253815.647476546,-10.26915514114421,LFM
565905.4981840589,5254112.599837029,229.82710621774413,LFM
565845.170249373,5253939.3577534760,337.736268351764,LFM
565731.6117840816,5253613.255007964,391.6908494187742,LFM
565635.796828992,5253338.1058164380,294.57260349815624,LFM
565454.8130249338,5252818.379565777,175.87252515073442,LFM
565319.9623474003,5252431.132555481,337.736268351764,LFM
565241.8909025125,5252206.936917941,661.4637547538237,LFM
565220.5986902703,5252145.792653158,769.3729168878435,LFM
563844.2533571732,5274995.323807623,-2815.3938309629275,LFM
564898.841523052,5272649.1040235790,-2943.428567203755,LFM
571901.5932580164,5257069.567674779,728.840458612722,LFM
572037.5921843854,5256767.000870049,280.7188817698268,LFM
572199.8365175975,5256406.043980196,-120.84460916731314,LFM
572431.2732870325,5255891.149593201,-435.11168903116163,LFM
572696.1133015405,5255301.940552411,-772.6578118478878,LFM
572925.1641248987,5254792.354354971,-987.9889591620063,LFM
573204.3198158666,5254171.296176842,-1022.9075235913228,LFM
573416.6690166885,5253698.867306295,-982.1691984237868,LFM
573586.0711881305,5253321.985847777,-854.1344621829599,LFM
573640.9479478934,5253199.897487973,-790.1170940625461,LFM
566658.4872287583,5256776.482693058,683.0455871806275,LFM
566622.6625696314,5256357.164527207,272.99077107135236,LFM
566491.0340207177,5255794.067118578,-50.736715330707284,LFM
566370.3781513455,5255447.582951471,-234.18229095854076,LFM
566231.9787717717,5255050.145230378,-417.6278665863747,LFM
566136.1638166821,5254774.996038851,-439.2096990131786,LFM
566019.0566493503,5254438.702582542,-396.04603415957035,LFM
565923.2416942607,5254163.553391016,-180.22770989153105,LFM
565852.2676534536,5253959.739175071,-83.10946397091311,LFM
569736.7194087594,5252125.142602053,1300,LFM
567019.2946778433,5251913.099548633,1300,LFM
563456.7729775308,5251916.571598630,1300,LFM
560988.5422350081,5251833.490402261,1300,LFM
558114.2800456326,5251715.440702345,1300,LFM
566916.6628864995,5244481.873385197,-5241.2234230126305,LFM
567475.6434104802,5243396.325652866,-5369.751122705936,LFM
568044.4306103203,5242291.733223477,-5530.410747322567,LFM
568363.1475757479,5241672.780569075,-5541.121388963676,LFM
569268.9945603939,5240588.413817503,-5198.380856448196,LFM
570778.1009960314,5240037.279292987,-5348.329839423718,LFM
571899.0637801667,5238271.528354998,-5487.568180758131,LFM
572309.6690745201,5235503.431060655,-5508.989464040349,LFM
572366.2130145525,5234922.926320347,-5508.989464040349,LFM
563844.2533571732,5274995.323807623,-2815.3938309629275,LFM
564898.841523052,5272649.1040235790,-2943.428567203755,LFM
566225.4275416688,5269697.750630075,-3118.021389350337,LFM
567427.9443642998,5267022.423093518,-3327.5327759262364,LFM
568601.829834011,5264410.7938316410,-3467.2070336435027,LFM
569613.4709705102,5262160.121459616,-3653.4393772665244,LFM
570801.6721166814,5259516.643060399,-3816.3926779366684,LFM
572075.7673216119,5256682.069837143,-4014.264543036128,LFM
573674.3511929666,5253125.582834175,-4281.973536994222,LFM
566693.3933068819,5257185.049111066,-4280.775870984284,LFM
566612.5581785956,5256238.895300942,-4518.176027679128,LFM
566345.537237063,5255376.2479758900,-4669.2488546667555,LFM
565926.7903963011,5254173.744101813,-4949.812676215206,LFM
565536.4331718619,5253052.765914114,-5057.721838349227,LFM
565202.8551800685,5252094.839099172,-5144.049168056443,LFM
564784.1083393065,5250892.335225095,-5079.303670776031,LFM
564379.5563067059,5249730.594194206,-4906.649011361598,LFM
564003.3938904282,5248650.378849697,-4820.321681654383,LFM
563818.8613843297,5248120.461888240,-4820.321681654383,LFM
563584.6470496663,5247447.874975620,-5165.631000483247,LFM
563087.6415315456,5246020.637793627,-4992.976341068816,LFM
564248,5273663,-2883.63,LFM
564396,5273663,-2883.63,LFM
573629.0182175102,5253226.438435757,-568.9661860102083,LMM
573729.2279527294,5253003.494474377,-580.6057074866471,LMM
573831.8236340254,5252775.242323445,-470.0302534604782,LMM
573927.2614770913,5252562.914741174,-254.69910614635978,LMM
574005.9976976208,5252387.744485804,129.40510257612186,LMM
574017.927428004,5252361.2035380210,402.9338572724346,LMM
574017.927428004,5252361.2035380210,705.5614156598443,LMM
565806.134526929,5253827.2599347070,-18.363966690501456,LMM
565696.124763678,5253511.3478999910,132.70886029712665,LMM
565628.6994249112,5253317.724394843,132.70886029712665,LMM
565547.079277983,5253083.3380465060,14.008781949704826,LMM
565483.2026412566,5252899.905252155,-18.363966690501456,LMM
565298.6701351581,5252369.988290697,121.91794408372425,LMM
565185.1116698667,5252043.885545185,456.43634669918583,LMM
565142.5272453824,5251921.597015618,790.9547493146474,LMM
565649.9916371533,5253378.868659627,-406.83695037297275,LMM
565735.1604861219,5253623.445718761,-363.6732855193645,LMM
565799.0371228483,5253806.878513112,-363.6732855193645,LMM
565891.3033758976,5254071.836993845,-363.6732855193645,LMM
565944.5339065029,5254224.697655800,-439.2096990131786,LMM
565969.3748207854,5254296.032631385,-536.3279449337965,LMM
566011.9592452697,5254418.321160947,-644.2371070678159,LMM
566072.2871799557,5254591.563244501,-644.2371070678159,LMM
566107.7742003592,5254693.470352474,-644.2371070678159,LMM
566139.7125187225,5254785.186749649,-644.2371070678159,LMM
566936.2762382182,5244443.783991080,-5508.989464040349,LMM
567436.4167070431,5243472.504441099,-5648.227805374763,LMM
567975.7838793051,5242425.046102886,-5798.176788350285,LMM
568554.3777550046,5241301.408976438,-5755.33422178585,LMM
569872.6371346489,5240367.960007696,-5508.989464040349,LMM
571630.9521662173,5238890.74664183,-5637.517163733654,LMM
572207.9104220825,5236548.129751153,-5744.623580144742,LMM
572366.2130145525,5234922.926320347,-5701.7810135803065,LMM
572366.2130145525,5234922.926320347,-5723.202296862522,LMM
563872.8847100929,5274931.625532943,-2984.166892371276,LMM
565032.4545033443,5272351.845408406,-3135.480671564981,LMM
566039.3237476901,5270111.789415495,-3310.073493711563,LMM
566821.914060831,5268370.7032409110,-3449.7477514288294,LMM
567819.2395208701,5266151.880006226,-3577.782487669657,LMM
568425.269824339,5264803.5998588340,-3729.096266863361,LMM
569055.1595885743,5263402.237815876,-3833.851960151311,LMM
569608.6990783568,5262170.737838730,-3880.410046057066,LMM
571858.6462286367,5257165.115086799,-4357.630426591056,LMM
572767.69168384,5255142.69486571100,-4543.862770214077,LMM
573426.2128009951,5253677.634548073,-4700.996310146002,LMM
574633.5015157794,5250991.690632402,-5015.26339000985,LMM
563092.7897007372,5246035.421650589,-4647.667022239952,LMM
566647.4642567192,5256647.461718950,-4690.830687093559,LMM
