X,Y,Z,azimuth,dip,polarity,formation
567954.9446931041,5242465.5160841355,448.80494882638277,152.75472638978698,22.539415998503383,1.0,Fault_003
570194.5798409182,5240250.384642466,-3.7196605104618072,110.06249008730369,3.63295073948821,1.0,Fault_003
569188.5088838264,5240617.80765881,767.4465376493672,110.06249008730369,14.470294100065894,1.0,Fault_004
571401.1422114033,5239421.5051734,199.7825306706041,156.5881601551846,9.688786560366818,1.0,Fault_004
572164.2995710378,5236995.857761366,-121.5367185626578,174.43666695738682,4.398705354995518,1.0,Fault_004
563465.7655313143,5247106.486163911,1098.4958613966019,199.1996042421516,17.525568373722912,1.0,Fault_001
563192.515474207,5246321.801432523,742.395626354336,199.1996042421516,28.300755766006375,1.0,Fault_001
564313.9053189594,5249542.066044457,796.3502074213466,199.1996042421516,25.201123645475075,1.0,Fault_00
564097.4344944977,5248920.432685824,634.4864642203165,199.1996042421516,9.039482803355193,1.0,Fault_00
563838.3792455517,5248176.5107976245,451.0408885924826,199.1996042421516,19.02560603756858,1.0,Fault_00
563632.5545272111,5247585.449571383,148.89523461722743,199.1996042421516,31.82744657667316,1.0,Fault_00
563309.6226415387,5246658.094888832,-217.99591663844052,199.1996042421516,14.470294100065907,1.0,Fault_00
574151.5404082963,5252063.944922848,420.39313948713334,155.79684717168075,45.00000000000006,1.0,Fault_00
574495.1166433338,5251299.565626688,-347.8152779578301,155.79684717168075,39.47245984834379,1.0,Fault_00
574776.6582803783,5250673.199259003,-848.3147014446995,155.79684717168075,30.96375653207347,1.0,Fault_00
573211.4776540967,5254155.371608173,234.16079586411206,155.79684717168075,44.1185960034179,1.0,Fault_2
573769.7890360325,5252913.255251913,-813.3961370153829,155.79684717168075,24.775140568831777,1.0,Fault_2
574409.2225845744,5251490.660450729,-1325.5350819786918,155.79684717168075,12.994616791916544,1.0,Fault_2
574840.9165936983,5250530.239067642,-1697.9997692247352,0.01,6.2258290644257785,1.0,Fault_2
565969.3748207854,5254296.0326313805,305.3635197115582,199.1996042421516,38.157226587369024,1.0,Fault_2
565653.5403391937,5253389.059370424,-342.09145309256064,199.1996042421516,29.87599269168946,1.0,Fault_2
565351.9006657634,5252522.848952657,-849.2645151224536,199.1996042421516,27.758540601059995,1.0,Fault_2
564911.8616127593,5251259.200813796,-1270.1102474451309,199.1996042421516,12.458246440004903,1.0,Fault_2
563754.9847476033,5247937.029093889,-1820.4469743286318,199.1996042421516,7.594643368591413,1.0,Fault_2
563322.04309868,5246693.762376622,-1949.937968889456,199.1996042421516,3.691385986451343,1.0,Fault_2
571951.6981256261,5256958.095694089,175.96318848191822,155.79684717168075,49.51398845800127,1.0,Fault_3
